,Unnamed: 0,2017_mean,2017_std,2018_mean,2018_predicted_mean,2018_predicted_std,2018_std,2019_predicted_mean,2019_predicted_std,2020_predicted_mean,2020_predicted_std,2021_predicted_mean,2021_predicted_std,2022_predicted_mean,2022_predicted_std,2023_predicted_mean,2023_predicted_std,5_yr_num_diff,5_yr_pct_diff,Sat_mean,Sat_std,Sun/Hol_mean,Sun/Hol_std,Weekday_mean,Weekday_std,daily_mean,daily_std,latitude,longitude,num_na,num_yrs_from_past_5,station,weekday-sat,weekday-sun
84,84,4146.156164383561,825.0548235174577,4014.381215469613,3928.9645119703296,737.6947722925902,804.2609813298328,3835.9847599968707,715.1567083911658,3670.833907189251,714.1373121755937,3508.121324183412,714.2953032916263,3340.948049556146,718.4627244192383,3245.564696043169,703.3021084229978,-6.846575342465942,-0.0003298273958487197,3196.049504950495,558.243655426637,2439.2765748031493,577.5368209808364,4288.103471444569,626.7836942096584,3838.794366197183,939.7350430490086,42.008362,-87.665909,0,5,Morse,1092.0539664940738,1848.8268966414194
85,85,7206.284931506851,1451.612385415644,7014.795580110497,7408.239140448158,1088.5692200872522,1351.7054935575607,7356.872563988367,1049.8709573964263,7405.366573594808,1049.764210538891,7460.442878675291,1048.9882771324812,7507.485932489885,1055.1596445255193,7444.630514048351,1034.596360344039,51.87534246575342,0.008076386371212163,5973.004400440044,1551.4991038165665,4499.445866141732,1408.59760360768,7179.453303471445,862.2673327176892,6581.714710485133,1472.6568554651624,41.90392,-87.631412,0,5,Clark/Division,1206.4489030314007,2680.007437329713
86,86,1217.8,470.19423272039023,1140.7016574585634,1200.0129841236424,312.80615262810886,334.2928015436531,1125.7101745682812,301.04497112797355,1062.7908191738222,300.50581202120964,1000.1354899495681,300.77953934992746,935.9613082771186,302.589220094492,861.3965807330233,293.0267590269592,-7.085616438356169,-0.0025123508066556,586.8602860286029,518.9682890929456,431.5275590551181,425.3843943818254,1156.2044792833144,388.2887435492145,959.9907668231613,513.3139380602526,0.0,0.0,0,5,California-Cermak,569.3441932547115,724.6769202281963
87,87,4135.909589041096,770.7617076212792,3818.375690607735,4068.007018558804,434.0115868069792,722.077683005547,3910.029177637333,403.41814184976477,3810.3818394303275,404.2767057071498,3715.3412052966996,402.01411596757714,3617.0189893931374,402.13996110100516,3451.2338957418456,369.17620403650915,419.20202412594574,0.17728393787448524,3787.913812154696,1085.9250436968666,2944.037623762377,1258.8285509489128,3628.560629921261,847.7608287701706,3542.530188679245,995.9818964582727,41.853206,-87.63096800000002,90,5,Cermak-Chinatown,-159.3531822334353,684.5230061588841
88,88,7511.898630136986,2354.956372084459,7019.127071823205,7611.712217992072,2202.3406804649303,2304.737119351923,7298.685526775341,2186.3149061896906,7189.789273839093,2183.1300713300657,7083.994969812801,2185.684636585311,6962.634844806867,2199.657025499312,6651.7205184010945,2179.976859466748,-28.632191780822037,-0.003659582789415472,4284.31903190319,966.0931378340216,3830.8681102362207,1143.170430353348,8752.387010078388,1026.7104653988613,7334.274804381846,2399.484642959599,0.0,0.0,0,5,Midway Airport,4468.067978175198,4921.518899842167
89,89,2718.1972602739725,702.8318890589609,2690.2872928176794,2642.617589067581,578.7970450011094,694.3628376703571,2660.071037143315,561.7902775706543,2627.4951337226253,561.066103115269,2596.340427628817,561.5740072831943,2561.874501165469,564.8376193710977,2578.0504292576447,552.9091047307732,26.419863013698546,0.010279514453871486,1968.9647964796482,341.3958179096804,1457.1486220472439,307.0987847647896,2886.5955207166853,442.87708542388026,2528.779499217527,696.6174138682521,41.990259,-87.659076,0,5,Thorndale,917.6307242370372,1429.4468986694415
90,90,6194.715068493149,1833.654134378963,6103.154696132597,6180.658582945707,1406.5303171066378,1826.1945522322708,6101.0611673812755,1377.2969680647545,6043.764785467778,1375.2971133203507,5988.128416250403,1376.9328849799938,5924.535244654646,1384.7460229750072,5842.199038618378,1372.2446417254316,42.21575342465735,0.007154436763532335,3420.72497249725,989.4596271662567,2417.850393700787,787.5758574832555,5911.488241881299,1185.7792127186185,5001.68544600939,1793.2815204637106,41.929728000000004,-87.708541,0,5,Logan Square,2490.7632693840487,3493.6378481805114
91,91,4235.2356164383555,1589.6163402429984,4060.309392265193,4241.6896541303695,1593.359998596514,1572.8722818003182,4187.300491531957,1557.2398281217847,4159.582495529976,1555.046386214315,4132.567519850844,1557.2327464769628,4097.899180676228,1566.9702343733456,4043.6565488496117,1543.4860642473734,8.654794520547966,0.0022539015695255404,2071.3828382838283,428.63584296294175,1395.5187007874015,505.0913136433014,5123.248600223964,664.4648761948438,4096.406729264476,1689.8169444255357,0.0,0.0,0,5,Pulaski-Orange,3051.8657619401356,3727.7298994365624
92,92,3276.194520547945,1490.4857671067896,3364.447513812155,3344.744827045151,1144.1821326749246,1535.1105004587728,3335.386150417709,1125.255122158317,3344.639439033955,1123.6840813241904,3353.7977067457978,1125.2854907066173,3357.3998573289564,1132.2525466896484,3349.937322752863,1119.56188956764,-41.99794520547948,-0.011897574052507492,1119.0539053905388,500.7757070436,793.0364173228346,384.6459822712287,3449.5742441209413,1153.1024478749773,2695.664162754304,1521.4151941642526,0.0,0.0,0,5,Clinton-Lake,2330.5203387304027,2656.537826798107
93,93,2036.5150684931507,776.147235180871,2022.0939226519336,2022.6746969693768,607.7990571730488,787.0310999195892,2022.040456315249,592.503658284346,2009.8875790236912,591.6732414490118,1998.3813996471827,592.4317281812398,1983.791365367813,595.8599077034504,1982.564503554692,587.060767554407,-11.931506849315099,-0.005257378054998707,1054.904290429043,403.84502015124013,645.4606299212599,292.5626343198903,2136.0259798432253,698.9854195249055,1745.235054773083,863.143954471029,0.0,0.0,0,5,Addison-Brown,1081.1216894141824,1490.5653499219654
